Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,Brier Score,CV F1 Mean,CV F1 Std
Random Forest,0.8334,0.8313,0.8493,0.8402,0.9092,0.1235,0.7329,0.0345
Extra Trees,0.8235,0.8154,0.8503,0.8325,0.9077,0.1284,0.7366,0.0266
Logistic Regression,0.8043,0.7791,0.8659,0.8202,0.8957,0.1329,0.7504,0.0387
SVM,0.8144,0.7835,0.8846,0.831,0.8852,0.1406,0.7397,0.0413
XGBoost,0.7541,0.7098,0.8851,0.7878,0.8799,0.1664,0.6969,0.0222
Gradient Boosting,0.7661,0.7361,0.8518,0.7897,0.8769,0.1595,0.6944,0.0267
Naive Bayes,0.6878,0.8543,0.4758,0.6112,0.8539,0.2913,0.5536,0.0508
Decision Tree,0.8095,0.8365,0.7838,0.8093,0.8483,0.1528,0.6628,0.0183
K-Nearest Neighbors,0.7874,0.7822,0.8145,0.798,0.8413,0.1705,0.6987,0.0226
