Feature,Flood Mean,No-Flood Mean,Difference,Corr (r),p-value,Significant
rainfall_mm,8.989,1.918,7.071,0.2638,0.0,✓
temp_max_c,27.162,26.32,0.842,0.0456,0.0,✓
temp_min_c,20.241,15.496,4.745,0.2571,0.0,✓
humidity_pct,93.136,77.414,15.722,0.4023,0.0,✓
wind_speed_kmh,13.467,17.537,-4.071,-0.2713,0.0,✓
precipitation_hours,8.287,2.399,5.888,0.434,0.0,✓
evapotranspiration_mm,3.457,4.537,-1.079,-0.2661,0.0,✓
elevation_m,502.427,547.867,-45.44,-0.0278,0.000129,✓
river_discharge_m3s,1507.808,33.317,1474.491,0.1718,0.0,✓
