Model,Accuracy,Precision,Recall,F1,ROC-AUC,CV-F1
Naive Bayes,0.8083,0.6493,0.8311,0.729,0.9039,0.579
Extra Trees,0.7572,0.5836,0.76,0.6602,0.8918,0.6461
Random Forest,0.7655,0.5902,0.8,0.6792,0.8916,0.5742
Gradient Boosting,0.7655,0.5902,0.8,0.6792,0.8828,0.559
Logistic Regression,0.7607,0.5977,0.7,0.6448,0.8671,0.6225
XGBoost,0.7655,0.5902,0.8,0.6792,0.8654,0.5663
SVM,0.7234,0.5468,0.6356,0.5879,0.8525,0.5702
K-Nearest Neighbors,0.8131,0.7737,0.5622,0.6512,0.7753,0.6183
Decision Tree,0.731,0.5463,0.7867,0.6448,0.757,0.5415
